"Index","Channel",Channel Link,HEVideo,Giveway Rewards Chest, Giveway Rewards HE,Wallet
1,CryptoGamers2,https://youtube.com/c/CryptoGamers2,https://youtu.be/bEaOebRkc18, 1 Chest,"4,000 $HE",0x59ACdCf6227a454be57F09D44B011BA3849D81f1
2,Đầu Tư Tiền Điện Tử,https://m.youtube.com/c/ĐầuTưTiềnĐiệnTửOfficial,https://youtu.be/xMZYkco0ZVQ, 1 Chest,"3,000 $HE",0x9c80810A659b82ffc4bEf410B688202A2938Db9C
3,Go Shiny Hunter,https://youtube.com/c/GoShinyHunter,https://youtu.be/JT-z8mv9Tuw, 1 Chest,"1,500 $HE",0x191447fAB0c5736380774CE5197e9Ccda7e835A2
4,Play a lot,https://youtube.com/c/Playalot9,https://youtu.be/MNZ9NbVBa2s, 1 Chest,"1,500 $HE",0x147A58EaAaa9a8424e012998CC9bcBfDCFB8047E
5,Block Channel,https://www.youtube.com/channel/UC5rRUu93fY76w2_Q76dEXSQ,https://www.youtube.com/watch?v=992YutXnJnA, 1 Chest,0,0x6D2Ff65e25e94EaD8FCF08b612bBd768B13a53b9
6,Dexter Plays PH,https://www.youtube.com/channel/UCnuNp08xoq3p0k814U3epVQ,https://www.youtube.com/watch?v=Xxw1Vx-hQM8, 1 Chest,0,0xe7557BEc9Cb491402BE2515058a7f264A532Db08
7,NVESTIMENTOS DO JOHN ,https://www.youtube.com/channel/UCefqHZGWIr5I0Wm1KtC9SGQ,https://www.youtube.com/watch?v=KnacHJFgfN4, 1 Chest,0,0x471906C27d7D766AebEE460365bA7a8C46283aFA
8, Tuấn Vàng Review ,https://www.youtube.com/channel/UChfX-N25lTp79BSZRYZJvag,https://www.youtube.com/watch?v=VAOkfULGQGo&t=2s, 1 Chest,0,0x418B118440Fce4c92335F7d1FE9A3C1D4EE107D3
9, LVT - Kiếm Tiền Online,https://www.youtube.com/channel/UC8d95By6G_2J3OQf3ReDUNg,https://www.youtube.com/watch?v=u2G9zEIJgoE, 1 Chest,0,
10,Yunepto,https://www.youtube.com/channel/UC2i2CverfKAwLEOkDE6vGtg,https://www.youtube.com/watch?v=9ge5EVc8e1Y, 1 Chest,0,0x1E0f755Dd6132E138Aeab7D65A2393787635F02a
