Index,Wallet,Amount (HE)
1,0x000f8F895818574C6aA675D6EE6F77B23835Ea4E,15
2,0x00f9a912D3A0408Ed49A1391c7E2FC0DC85bf114,15
3,0x01117b00a2B4a9B9D42BFABe5490Aa577738aCf7,15
4,0x0158dDAc3390fC121511f11dfb252564fc323E0D,15
5,0x01651036468c847f5F97e2B9ebD3E203e3593F94,15
6,0x01CFBa9Bf3C7568eF1538F2526A816755A08C8DD,15
7,0x0284224755e3b081e5748432fD04034E57786Dd1,15
8,0x02A591c6540E97a46cf669113babe4a45134108E,15
9,0x02c025F440aC2a054AbbE6547a17DB4618a860dd,15
10,0x02c440FDCd628D697DBb24C6603253C7EfA0702E,15
11,0x03229B3219EB3A5a11110283926E0abCCA37919E,15
12,0x0366122FbcD9A7D1bEF4FF7DbDC5C8773bF4A9c6,15
13,0x03796A2fc5A8f237384C431e0777dEc41F7504E7,15
14,0x0389F5337a6A984Fc05Da28B40DC51aD091c5925,15
15,0x039c7320956110b7E9E350D382a354D6aCe8d2C0,15
16,0x03B345BD183b6c21d509C3F14CFF5d243F96E43c,15
17,0x0484FEa5D1E57B6f0cC80B7ab2d27B352138d63E,15
18,0x04a4aD56A2D448E6E3880fA1c2D5859cefb80e0c,15
19,0x04Ba2929812E47414611C6d2208C10F9C7381e03,15
20,0x04f7AE1AA2eDCbCC34E10aD0d4f1B0Ffa304a2f4,15
21,0x050912f8d9713584d6941d75BFfDa6C762B19C07,15
22,0x0553012ADaA91AFE5E14da46a306F3f3dA92f002,15
23,0x0614473c6943Fa020B3e8dE3F96c24614E64Ecb5,15
24,0x0640B8Fc19222032baFBf7f28ab8F0d3382AF1ee,15
25,0x068EFaCEe2170433E4416EB391c11Ea85f6d5034,15
26,0x069badA13564fe6BcA4cB97d93F9E0AaAB237e8E,15
27,0x06B7e8e22a22871Bfde22C86367F2EdcBE922964,15
28,0x07616edc98f3c6e4948E1e3e85BDAcBaf11e20b0,15
29,0x077D835BA2Ce0F8cADe586935C59CE9b52a61771,15
30,0x07D4988f0D734CD7888173283e3a12B3e2735439,15
31,0x07eCE947739B8c7ccEDEC8dC05766a2A671d886c,15
32,0x0875265D8F2A51d82B4138b904195e73A9F805bd,15
33,0x08A749d3196d4E537276DcA6972eAF7d9e9b10BD,15
34,0x08CeD7A40aBa773d2511A5f68a0F10B2A01fB64c,15
35,0x0909726D6905Ae79635168ecb8D31bd189164078,15
36,0x095d5eBe226d35bAeBC085d9982c0Fcb9c9BaA1C,15
37,0x0A5C186f863F53c869D7b4cc66F3bf111869f2A4,15
38,0x0B0f4E08B27E78F58e9d28Ab0aC5aD0a59341660,15
39,0x0b8918e9ed21d6E10d5899052205c14a85F7e637,15
40,0x0B9A3E108216ef93C9817301BB218f0AB0F2A099,15
41,0x0be411F35fBbD988Dc3d3696aA8eFcC08C71014D,15
42,0x0C043F94dd5165bfde168628E7Ea35E8221F4707,15
43,0x0c06b74a5901683d99A6Ec95347f94E29210296d,15
44,0x0c0f593Fb46f12104Ed33eD478d0DF10826f398A,15
45,0x0C336Cf139215Ae8F63F39576BE465A4B231a439,15
46,0x0ca04ddF5A7534b7FFF9552abB7566B4EBAb09d9,15
47,0x0cA729481c61Bbb57CaFe02fc894F4B19e399f93,15
48,0x0CB167E717bF87D20429662787C4B38352a0EE75,15
49,0x0D1db4bD9818b2363F4471DF7cBDc027ad3B9148,15
50,0x0d7e02f95691683dF7fe6f7a5A280EF188d266d4,15
51,0x0D849216e11882cFCbFe407BBe86B8bEF7668fdd,15
52,0x0D852A4476D49531a1febFF6c40804215aE95B47,15
53,0x0DfEebEfE49fF3D86A74C01EcE7c5Fcc46F243a3,15
54,0x0DfF691788aC146e46ec7C863Ea8C7718F4FA37F,15
55,0x0e25DB9225D1a04A0F62d69d231c1F0E35FF4EcC,15
