STT,Discord,"Wallet",Reward (Chests),Link
1,Nguyên Sơn #2168,0xA18DEA4305A1C325B693165A672507e3c5916Ac7,1,https://discord.com/channels/544233580994232359/883246847009906758/904558129126178897
2,htad102#1628,0x5FE6A0DCF60DB916DD4Cb71d2E3F66577cED9E53,1,https://feedback.heroesempires.com/b/n0e83j0g/feature-requests/naming-character-window-has-been-show-unexpectedly-anytime-accessing-to-pvp-arena-screen
3,GustavoPorto#0001,0x1C29DCeeB21912777F6d688952E44559A9430846,1,Report HACK SPEED game error (reported to dev team)
4,1by1#5880,0x7f9E470c1C55CcDdbDa26bd4BE230111A173fEF7,1,https://discord.com/channels/544233580994232359/890180175428472832/904890896837918790
5,SpectreHex#1902,0xc99181bf281955777D1Fe00c3Ea4ad691aFb8B02,1,https://discord.com/channels/544233580994232359/890180175428472832/904946412670824468
6,Cao Khánh Đạt#5934,0xCfF0e3608026C5d091D3222d84f757136FB03d07,1,https://discord.com/channels/544233580994232359/883246847009906758/906157435398529034
7,Armkaiser#8208,0x7c8B391d7B0C58cFA55485AE16Aff86e8799c9D1,1,https://discord.com/channels/544233580994232359/883246847009906758/904386227510337606
8,HE1000$#2189,0x6Aa4B7ecAA2E911549EA47c802cFd51A55F3062f,1,https://discord.com/channels/544233580994232359/883246847009906758/906747617164267600
9,Mirai 000#0263,0x225a1f72cFb3ffE4153C0a31289c7B4373C08939,1,https://discord.com/channels/544233580994232359/883246847009906758/906736231923204108
10,best#8799,0x024BdA824a05bCCe276AC3715686564ab34D5f8A,1,https://discordapp.com/channels/544233580994232359/883246847009906758/904581405592412221
11,JL#4222,0x769ebD6EE9264ACe412828100700A8F5448eD0F6,1,https://discord.com/channels/544233580994232359/883246847009906758/904885897235923015
12,0oxi#3137,0xc894F6f8C4C58c43EB0dB3D0Fd9890972302f375,1,https://discord.com/channels/544233580994232359/883246847009906758/906031436556013589
13,Orfeu#5636,0x6fa2BF0f50d7733981Dce26506E07134aCAACA12,1,https://discord.com/channels/544233580994232359/883246847009906758/904887547396784218
14,Mwuahahaha#2252,0x89e56a2d6Aa26F3b0dbF26203f9fd262c19c6dA7,1,https://discord.com/channels/544233580994232359/883246847009906758/904899128872566824
15,Rafaelk#1640,0x80D628C7fCecC44517BA0ccDdC5Ba0F6485680b5       ,1,https://discord.com/channels/544233580994232359/883246847009906758/904910191445831751
16,RagsFork#6130,0xc75264665991CDDF62cBd0df32987A1ABC5C0a6F,1,https://discord.com/channels/544233580994232359/883246847009906758/904937484260089887
17,Siomai#9475,0x1aC54ae7d8fca6E07605692813C003F0531bd99B,1,https://discord.com/channels/544233580994232359/897255576671764530/904926401520607252
18,bonde#9674,0xc42989C474D8ee3ac62acd3152128f97b7BF7dB9,1,https://discord.com/channels/544233580994232359/883246847009906758/904942239069917194
19,honggiatr87#1639,0x03332F0cC40c4fDb6EE4A4F7decaC902581f79a0,1,https://discord.com/channels/544233580994232359/883246847009906758/904956465935163462
20,Ludwig#6398,0x285403970DFDd9B7601bB7babCD77E43552BD3Ae,1,https://discord.com/channels/544233580994232359/883246847009906758/904963786140680202
21,LouisBop#7191,0x8497116071d7dC0762Ae4D3d785C29f9641EC318,1,https://discord.com/channels/544233580994232359/883246847009906758/907207520454582282
22,moonfox#3129,0xCEA695F441abE76615b17E09AbD9D5EEd76a40cC,1,https://discord.com/channels/544233580994232359/883246847009906758/905300594418401290
23,mheepanda#9461,0x8b5Bf4a8A7d8B732BE3845E4BdaBdC38269c96a0,1,https://discord.com/channels/544233580994232359/883246847009906758/905298070592454686
24,baby_girl#5527,0xBC17d451d0768d81CeD514494c4BDf62e1b49116,1,https://discord.com/channels/544233580994232359/883246847009906758/905291370145665074
25,manman#1102,0x8796ebCfA9A9693c8DcdA44C338c72eebC3BeB95,1,https://discord.com/channels/544233580994232359/883246847009906758/905313673994698783
26,Gabriel Oliveira (oliveiragsg)#4900,0x23C91dEd565b853CbbcD604F6C54AF435ADCECc1,1,https://discord.com/channels/544233580994232359/883246847009906758/905277256040058921
27,Yagoreto#5978,0x07D4988f0D734CD7888173283e3a12B3e2735439 ,1,https://discord.com/channels/544233580994232359/883246847009906758/905283053071515678
28,Thanh#3723,0x7Be83c73394b0F9C4AB707d65aFEbd717e1d6fff,1,https://discord.com/channels/544233580994232359/883246847009906758/905317677642416178
29,gemini03#9563,0x4bF91B385D72a36452Ec1C97Ae793e8fAA055290,1,https://discord.com/channels/544233580994232359/883246847009906758/905333679029645342
30,hiphip#7761,0xcab3715DFCC076A257bb460d6F91e96f26A7ba98,1,https://discord.com/channels/544233580994232359/883246847009906758/905327565881876501
31,-Joker-#5050,0x3247d42027D39e4D6F217108d09b43e28703c6D9,1,https://discord.com/channels/544233580994232359/883246847009906758/905334724132732938
32,trần khánh#1758,0x2386e95cb878c742124524aD49A7E61e429D0e2B ,1,https://discord.com/channels/544233580994232359/883246847009906758/906029175012474881
33,Ogshh#2695,0x2E4e3049e690D115aEc8dE34fc47fde67041c6C5,1,https://discord.com/channels/544233580994232359/883246847009906758/905382068379332638
34,sattvah#7086,0x0b8918e9ed21d6E10d5899052205c14a85F7e637,1,https://discord.com/channels/544233580994232359/883246847009906758/905611420538908725
35,Pluto nguyễn#1276,0xBde993AC96D58dcd33276Cbbee614f7C7cfB8a48,1,https://discord.com/channels/544233580994232359/883246847009906758/905619098589859900
36,rafaelfaria#9542,0x0E216C385c647157671Fea70d36c0219BFaE553E,1,https://discord.com/channels/544233580994232359/883246847009906758/905622312668254280
37,volam2197195#4394,0x3247d42027D39e4D6F217108d09b43e28703c6D9,1,https://discord.com/channels/544233580994232359/883246847009906758/905634995052371968
38,Peasoup#8608,0x905AE50118B4017ea6d730f3309AE20a74da9e78,1,https://discord.com/channels/544233580994232359/883246847009906758/905640943292653588
39,tranvannam#6471,0x0f3eB81E6bFcdd29C079238e8071013Ba5A8168c,1,https://discordapp.com/channels/544233580994232359/883246847009906758/906834759383134258
40,lucianorl767#3851,0x894549D07D7Bdf1ba2302eA51f1B3aF4086BEA97,1,https://discord.com/channels/544233580994232359/883246847009906758/905635010827149323
41,ThierisR#6055,0xdb99400604f4F8ff878d3798A87e8B236d9d8FE9,1,https://discord.com/channels/544233580994232359/883246847009906758/905764757443866665
42,nftplayercommoner#2916,0xC855ae42DAef756fdee948Bfd1207c9134a688A0,1,https://discord.com/channels/544233580994232359/883246847009906758/905768212136882226
43,Foam#2198,0x5a1CDf8047D73aeD41B8Be34284DB2D47dCA603f,1,https://discord.com/channels/544233580994232359/883246847009906758/905836693649760268
44,Kirby#2556,0x8A6d20E9A9EFeae60697573189E3CC9c329BDfc2,1,https://discord.com/channels/544233580994232359/883246847009906758/906006578333896774
45,tmtct2021#7671,0x5cC36E9487487f5AA61A7D5bEAE61901498F0a92,1,https://discord.com/channels/544233580994232359/883246847009906758/905988158636834906
46,kuty#8479,0xa0025E5EF5E78FD8A448c19B89F1554615b21943,1,https://discord.com/channels/544233580994232359/883246847009906758/906030289095114823
47,Tuan Khanh#6226,0x4DfDa814C57ef544430F031025120b4a7f65ca71,1,https://discord.com/channels/544233580994232359/883246847009906758/906039182940569630
48,dthanhthai#6670,0x12d7A2B233Cbe3A799A268b9dCa1D5bD050d67B4,1,https://discord.com/channels/544233580994232359/883246847009906758/906237058786394116
49,Mr Tùng#8937,0x71016beDA2D0E1f559Bf7663c848A9c0626DF8D2,1,https://discord.com/channels/544233580994232359/883246847009906758/906747617164267600
50,honggiatr87#1639,0x3c34B5d889914f016E239BF439eB67BA90639778,1,https://discord.com/channels/544233580994232359/883246847009906758/906746445728722989
51,lordpix#6093,0x98e5b39f22cfa1ED455055215b331255C478E838,1,https://discord.com/channels/544233580994232359/890180175428472832/905466319024042024
52,LikeBoss#9821,0xe6d4fb4bDE7b871AC90c71a4aa78C10FB889298d,1,https://discord.com/channels/544233580994232359/890180175428472832/905407984828559382
53,VNZ#7181,0x2DF2AA2165D76Ef0C3d3955CcAB95e2F8832F2C5,1,https://discord.com/channels/544233580994232359/890180175428472832/904888473700405259
54,CryptoNinja#0007,0xF131b3b021e3858d818abF8575D03cC685b42b31,1,https://discord.com/channels/544233580994232359/890180175428472832/904999489901842442
55,Krug220#8083,0xc18Ab982C13376582dC5DDdc33eca776E620e151,1,https://discord.com/channels/544233580994232359/890180175428472832/905015811381555231
56,CtX#1935,0x5F531045a69e3A097FaF0ED1588544C359186904,1,https://discord.com/channels/544233580994232359/890180175428472832/905075957294055454
57,Dr. Heinz Doofenshmirtz#5929,0x798e12e3c0B3907441bfB2bd887741eA1044e933,1,https://discord.com/channels/544233580994232359/890180175428472832/905396612908613652
58,judite#0001,0xe0Aab85624D9cc17cDA913C621Dc9E3FD28538Df,1,https://discord.com/channels/544233580994232359/890180175428472832/905320530381529132
59,Ragnarlock#3878,0x267620528b2c86eF7BE2c5BaeC06a8949905f7E2,1,https://discord.com/channels/544233580994232359/890180175428472832/905467767325605928
60,Davidani9#6120,0xA2e4c0f96a09E611EF33011b7e25A662776c38E3,1,https://discord.com/channels/544233580994232359/890180175428472832/905501323154300968
61,jijiez#1764,0x50a4d0f1f01B044B7A79bd2FCB83A069179117F9,1,https://discord.com/channels/544233580994232359/890180175428472832/905654688320487445
62,ShadowTats#1650,0x478E68F5b0Fa24FeB34Be8BC56e8d21Efd330Eb0,1,https://discord.com/channels/544233580994232359/890180175428472832/905656708662181889
63,Cheesy#9784,0x60aF13C71fe0cD7a1D930a724F27c8549e32083d,1,https://discord.com/channels/544233580994232359/890180175428472832/905677077540397116
64,AraiWa#7724,0xd0F126fC4cA2000cb887e5ec524ca5A1177dD4Fd,1,https://discord.com/channels/544233580994232359/890180175428472832/905684384101855243
65,Coximus#0377,0x2c09e756085946F5b37c4C9da21c7CaD7638de6C,1,https://discord.com/channels/544233580994232359/890180175428472832/905769217238900756
66,AndiLove#3651,0xA508dC76F432Afe26f2f26311b48700C569A2eB9,1,https://discord.com/channels/544233580994232359/890180175428472832/905783085898031105
67,Legendaryll#5415,0x35478edB272601a239EDcFd84a45A2a6A3Df048f,1,https://discord.com/channels/544233580994232359/890180175428472832/905783145608122389
68,Jacksolut#2622,0xC38e07206018140040c940A8cb4102E76C23CB16,1,https://discord.com/channels/544233580994232359/890180175428472832/905959009603964928
69,Ten#3575,0x462C234d399a84F62e102Bc745FD93F649e36CfF,1,https://discord.com/channels/544233580994232359/890180175428472832/906302149963694161
70,Alezxan#2819,0x49689F8fA028AA49c7c891E4981c556C10d69105,1,https://discord.com/channels/544233580994232359/890180175428472832/906134900745334814
71,anhnup1811#2954,0x0caB74e5Ef266c458B1707e875456EbDE08920E2,1,https://discord.com/channels/544233580994232359/890180175428472832/905407722189623296
72,🔥 𝔏𝔬𝔫𝔤ℭ𝔲𝔱𝔢 🔥#8811,0x1D095Bd693d5E13756473458b6D24d5De43e5bC4,1,https://discord.com/channels/544233580994232359/890180175428472832/906818942906007604
73,Hickery#8323,0x6b3c30a40b3B2fFC0c56E0ea287983cF235eff45,1,https://discord.com/channels/544233580994232359/890180175428472832/904783538275110952
74,adminheroestd#1192,0x1D095Bd693d5E13756473458b6D24d5De43e5bC4,1,https://discord.com/channels/544233580994232359/890180175428472832/906560271177363466
75,DanDapz#7984,0x0413C901f4a805F5FE5dF5E5F644254a66dE33f5,1,https://discord.com/channels/544233580994232359/890180175428472832/907774594906218507
76,trường2k8#1753,0x9D1017Aa1dd97FC3938232c59A485Fa8Cd37d0ce,1,https://discord.com/channels/544233580994232359/890180175428472832/907672020962123806
77,aniceeeeee#1730,0x7C4708E03b15Cb058d476A104f030cF943c67aAe,1,https://discord.com/channels/544233580994232359/890180175428472832/907441046231867423
